,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME
72118,4581708.0,C1CCCC(CCC1)N2CC(CC2=O)C(=O)NCC3=C(C=C(C=C3)F)Cl,Inactive
265786,3527350.0,CCOC(=O)C1CN(C2=C(O1)C=CC(=C2)CC(=O)OC)S(=O)(=O)C3=CC=C(C=C3)OC,Inactive
62534,3243015.0,CCN(C1=CC2=C(C=C1)OCO2)S(=O)(=O)C3=CC(=CC4=C3N(CC4)C(=O)C5CC5)Br,Inactive
190691,37534.0,C1=CC=C(C=C1)C2=NC3=C(S2)C=CC(=C3)CC(=O)O,Inactive
86806,2831273.0,C1=CC=C(C=C1)C(=O)NC(C(Cl)(Cl)Cl)OC2=CC=CC=C2,Inactive
306096,46904810.0,COC1=CC2=C(C=C1)C=C(C=C2)C#CC3=CC(=O)C[C@@H](C3)C4=CC=C(C=C4)F,Inactive
194646,16195947.0,CC1=CC(=O)OC2=C1C=CC(=C2)OCC(=O)OCC(=O)NCCC3=CC=CC=C3.CN(C)C=O,Inactive
22191,648807.0,C1CCC(CC1)NC(=O)CN(CC2=CC3=C(C=C2)OCO3)C(=O)CCCC(=O)NC4=CC=CC=N4,Inactive
283497,4983382.0,C1CN(CCN1CC2=CC=CC=C2)C(C3=CC(=CC=C3)F)C4=C(N5C(=NC=N5)S4)O,Inactive
49316,12005351.0,CCCC(=O)OCCNC1=C(C2=NON=C2C(=C1)SCC3=CC=CO3)[N+](=O)[O-],Inactive
217526,9204530.0,CN(CC1=CC=CO1)CC(=O)NC2=CC=CC=C2C(=O)NC3CC3,Inactive
278308,2147390.0,CC1=NC(=NC=C1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)C3CC3,Inactive
256808,658842.0,CC1(CC2=C(CO1)C(=NC(=C2C#N)SCCOC3=CC=CC=C3)N4CCOCC4)C,Inactive
117814,2990420.0,COC1=C(C(=CC=C1)OC)C(=O)NC2=CC=C(C=C2)N3CCN(CC3)C(=O)C4=CC=CS4,Inactive
260087,666217.0,CCN1CCN(CC1)C2=NC(C(C(=O)N2)C(=O)OCC)C3=CC=CC=C3,Inactive
114358,6457308.0,COC1=C(C=C(C=C1)CNC(=O)C2=CC3=CC=CC=C3O2)OC,Inactive
39718,654090.0,CC1=C(C(=NN1C)C)CNC(=O)C2=NN3C(CC(NC3=C2Cl)C4=CC=C(C=C4)OC)C(F)(F)F,Inactive
151398,2921946.0,C1CN(CC1C2=CC=CC=C2)C3=NC(=CS3)C4=CC=C(C=C4)Cl,Inactive
127879,25237254.0,CN1C2=C(C=C(C=C2)/C=N/NC(=O)C3=CC=C(C=C3)N)C4=CC=CC=C41,Inactive
231974,2092395.0,CCOC(=O)NC1=CC(=CC=C1)OCC(=O)NC2=CC=CC=C2OC,Inactive
289753,238338.0,C1=CC=C(C=C1)C(CC2=CN=CC=C2)O,Inactive
238300,46942591.0,CC(C)CNC(=O)C1(CCCCCN1C(=O)C2=CN=CC=C2)C,Inactive
40241,644739.0,COCCCNS(=O)(=O)C1=C2C=CC=C3C2=C(C=C1)SC3=O,Inactive
61387,3240112.0,CC1=CC=C(C=C1)CN2C(CCC2=O)C(=O)NC,Inactive
8605,1168370.0,CCN(CC)C1=CC2=C(C=C1)C=C(C(=O)O2)C(=O)NNC(=O)C3=CC=C(C=C3)S(=O)(=O)N4CCCCC4,Inactive
231915,5794045.0,COC1=CC=C(C=C1)NS(=O)(=O)C2=C(C=CC(=C2)NC(=O)/C=C/C3=CC(=C(C(=C3)OC)OC)OC)N4CCCCC4,Inactive
165832,1744616.0,C1=CC=C(C=C1)CCCNC(=O)C2=CC=C(O2)Br,Inactive
69708,16007451.0,CCN1C=C(C(=O)C2=C1C=CC(=C2)S(=O)(=O)N3CCOCC3)C(=O)NCCN(CC)CC,Inactive
45704,1265641.0,C1=CC=C(C=C1)CCN2C(=CC(=O)N=C2SCC(=O)NCC3=CC=CC=C3)N,Inactive
338609,8546049.0,C1CN(CCN1CC(=O)NC2=CC=CC=C2C(=O)NC3=CC=CC=C3)C4=CC=CC=N4,Inactive
176468,656367.0,CC1=CC(=NC(=C1C#N)N(C2=CC(=CC=C2)OC)C(=O)C)C,Inactive
38430,3136181.0,CC1=CC=C(C=C1)S(=O)(=O)N(CC(=O)NCCC2=CC=C(C=C2)OC)C3=CC(=C(C=C3)OC)OC,Inactive
120987,24817357.0,CC1=C(OCCO1)C(=O)N2CCCC(C2)N3CCN(CC3)C4=CC=CC=C4F,Inactive
136761,4154665.0,CCOC1=C(C=C2C(=C1)C(=O)N(C(=S)N2)CC3=CC=C(C=C3)C(=O)NCCOC)OCC,Inactive
281262,7293376.0,CCOCCN1C=CC2=C(C1=O)C=CC=C2OCC(=O)NCC3=CC=CC=C3,Inactive
258309,662383.0,C1=CC=C(C=C1)S(=O)(=O)NC2=NC3=CC=CC=C3N=C2NCC4=CC=CO4,Inactive
272818,9550845.0,CC1=CC(=NO1)NC(=O)CSC2=NC(=NC3=C2C(=O)N(C(=O)N3C)C)CC(C)(C)C,Inactive
